trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.7, 'e': 0.00029726516052318666}",20,0,30.546705097400977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.0002872737719046251}",25,6,7.871874002017308,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.0002777777777777778}",30,15,3.187587328650171,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.0002687449610319806}",20,14,7.74679847841315,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.00026014568158168577}",20,12,-26.71062605676399,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.7, 'e': 0.0002519526329050139}",20,3,27.304443348538395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.000244140625}",20,6,20.841620783961105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.00023668639053254438}",25,16,14.815921087813592,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.0002295684113865932}",20,0,-9.34487972066432,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.7, 'e': 0.00022276676319893073}",20,0,33.50659106396476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.00021626297577854672}",25,3,39.33639657965496,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.00021003990758244065}",25,7,-14.192484519586937,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.7, 'e': 0.00020408163265306123}",25,4,31.65271679869983,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.00019837333862328903}",25,15,16.385607812884885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.00019290123456790122}",25,15,17.546289327038735,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.00018765246762994934}",20,10,14.460401275333883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.00018261504747991235}",20,10,18.31972858099615,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.00017777777777777779}",20,1,29.814808431640028,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.00017313019390581717}",20,6,27.541495087896703,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.00016866250632484398}",25,14,17.953401229533306,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.0001643655489809336}",20,8,-20.425924550318353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.7, 'e': 0.0001602307322544464}",30,3,2.3767877846597774,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.7, 'e': 0.00015625}",20,16,7.305945497641731,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.00015241579027587258}",20,12,16.423549801699213,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.000148720999405116}",25,15,18.356416083797864,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.00014515894904920887}",25,12,20.266329695908542,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.0001417233560090703}",20,9,15.951940332832255,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.0001384083044982699}",25,13,21.141884426650478,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.00013520822065981613}",20,8,19.175791062585795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.0001321178491214163}",25,5,37.048059823180935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.00012913223140495868}",30,17,21.693830954183433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.00012624668602449185}",25,17,15.317329253901992,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.0001234567901234568}",25,13,19.5316576172849,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.00012075836251660427}",20,0,29.69738250596878,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.7, 'e': 0.00011814744801512288}",30,20,20.723376412872746,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.00011562030292519366}",30,10,28.460766482671634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.00011317338162064282}",25,0,35.809147525905956,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.7, 'e': 0.00011080332409972299}",25,20,9.754779102620553,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.00010850694444444444}",25,15,22.11730290791053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.00010628122010840685}",30,22,13.436480156683453,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.00010412328196584757}",25,16,15.054198930657364,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.00010203040506070809}",30,18,23.011560993949754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.0001}",20,16,8.67222655164521,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 9.802960494069208e-05}",25,8,25.5992327151813,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 9.611687812379854e-05}",20,14,11.618098151135044,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 9.425959091337543e-05}",25,17,13.991065934080684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 9.245562130177515e-05}",25,13,21.198579941570834,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 9.070294784580499e-05}",25,3,39.36451509076788,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 8.8999644001424e-05}",30,14,29.343512884612146,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 8.734387282732117e-05}",25,18,11.890080891528223,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 8.573388203017832e-05}",20,16,6.000267035451889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 8.416799932665601e-05}",20,13,12.070696493047993,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 8.264462809917356e-05}",25,15,17.798425707627093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 8.116224332440549e-05}",25,17,-26.79919530873407,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.7, 'e': 7.971938775510203e-05}",25,17,14.398317267918284,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 7.831466833737959e-05}",20,8,19.566807283054317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 7.694675284702985e-05}",30,18,-21.08919545682334,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.7, 'e': 7.561436672967863e-05}",25,12,21.355814927650627,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 7.431629013079666e-05}",20,0,14.465886541648786,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.7, 'e': 7.305135510263716e-05}",20,13,13.983815405034228,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 7.181844297615628e-05}",20,0,0.572592401799981,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
119,False,"{'a': 0.7, 'e': 7.06164818868724e-05}",20,11,15.623738354325749,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 6.944444444444444e-05}",20,12,2.743277790443926,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 6.830134553650706e-05}",20,14,12.817188659821031,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 6.718624025799516e-05}",35,21,27.800055244107163,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 6.609822195782933e-05}",30,22,17.308936808832822,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 6.503642039542144e-05}",20,14,9.590810316651323,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 6.4e-05}",25,7,31.55780600477326,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 6.298815822625347e-05}",25,11,24.084916325507447,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 6.2000124000248e-05}",20,13,12.00647144291223,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 6.103515625e-05}",25,11,17.981327343406484,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 6.009254251547383e-05}",20,2,26.75446860171905,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 5.9171597633136094e-05}",30,2,49.8890230688548,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 5.8271662490530857e-05}",25,13,21.095753531276177,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 5.73921028466483e-05}",25,11,4.733337072495756,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.7, 'e': 5.6532308214144386e-05}",20,0,30.614602112497263,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 5.569169079973268e-05}",25,13,21.671409892324334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 5.486968449931413e-05}",25,14,14.225520321346863,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 5.406574394463668e-05}",20,8,22.30579404039823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 5.3279343598486864e-05}",25,0,10.915646707065914,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
138,False,"{'a': 0.7, 'e': 5.250997689561016e-05}",20,4,27.87099542444672,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 5.175715542673774e-05}",25,17,15.272590523154076,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 5.102040816326531e-05}",20,13,14.4567496110207,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 5.02992807202857e-05}",20,12,16.972483164394728,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 4.959333465582226e-05}",25,16,18.42271020083943,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 4.8902146804244705e-05}",20,10,19.637146020056566,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 4.8225308641975306e-05}",20,11,16.04456489659756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 4.756242568370987e-05}",25,0,34.83216147851622,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.7, 'e': 4.6913116907487336e-05}",25,13,25.953716555811376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 4.627701420704336e-05}",20,0,-32.04704785276854,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
148,False,"{'a': 0.7, 'e': 4.565376186997809e-05}",30,10,38.481849050949954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 4.504301608035674e-05}",20,2,27.414081980913608,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 4.4444444444444447e-05}",30,24,10.23478835501158,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 4.385772553835358e-05}",20,8,19.527984114999384,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 4.3282548476454294e-05}",20,3,30.214946476558158,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 4.2718612499466016e-05}",20,9,20.15467526540639,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
